Aalten Gl,6.58333,51.9333
Abbekerk NH,5.01667,52.7333
Angerlo Gl,6.133329999999999,51.99999999999999
Arum Fr,5.48333,53.1333
Austerlitz Ut,5.31667,52.0833
Bellingwolde Gn,7.16667,53.11669999999999
Benschop Ut,4.98333,51.99999999999999
Bleskensgraaf ZH,4.78333,51.8667
Boekel NB,5.68333,51.6
Breda NB,4.8,51.5667
Brunssum Lb,5.96667,50.95
Delden Ov,6.71667,52.2667
Deventer Ov,6.2,52.25000000000001
Diemen NH,4.96667,52.3333
Dwingelo Dr,6.36667,52.8333
Echt Lb,5.88333,51.1
Edam NH,5.05,52.5167
Eeksterveen Dr,6.8,53.05
Eelde Dr,6.56667,53.1333
Eibergen Gl,6.65,52.1
Eijsden Lb,5.7,50.7833
Eindhoven NB,5.46667,51.45
Elburg Gl,5.83333,52.45
Finsterwolde Gn,7.08333,53.2
Formerum Fr - Formearum Fr,5.31667,53.38329999999999
Grijpskerk Gn,6.299999999999999,53.2667
Groenekan Ut,5.15,52.1167
Grouw Fr - Grou Fr,5.83333,53.09999999999999
Haamstede Ze,3.75,51.7
Heinkenszand Ze,3.81667,51.4833
Hoenderlo Gl,5.88333,52.1167
Hunsel Lb,5.81667,51.1833
IJmuiden NH,4.6,52.4667
Ingen Gl,5.48333,51.96670000000001
Joure Fr - De Jouwer Fr,5.783330000000001,52.9667
Jutfaas Ut,5.08333,52.0333
Kampen Ov,5.91667,52.55
Kerkrade Lb,6.06667,50.8667
Koekange Dr,6.316669999999999,52.7
Koevorden Dr,6.75,52.6667
Koewacht Ze,3.96667,51.2333
Laren NH,5.23333,52.25000000000001
Leermens Gn,6.8,53.35000000000001
Leeuwarden Fr - Ljouwert Fr,5.783330000000001,53.2
Loenen Ut,5.01667,52.2167
Maastricht Lb,5.68333,50.85000000000001
Makkum Fr,5.68333,53.09999999999999
Marken NH,4.78333,52.5333
Marum Gn,6.26667,53.14999999999999
Meije ZH,4.76667,52.1167
Meppel Dr,6.2,52.7
Middelburg Ze,3.61667,51.5
Monnickendam NH,5.03333,52.4667
Nijeholtpade Fr,6.08333,52.9167
Nijverdal Ov,6.46667,52.3667
Nunspeet Gl,5.8,52.3833
Oldenzaal Ov,6.91667,52.3167
Ootmarsum Ov,6.9,52.4167
Ouddorp ZH,3.93333,51.81669999999999
Oudewater Ut,4.88333,52.0333
Piershil ZH,4.31667,51.8
Posterholt Lb,6.03333,51.13330000000001
Putten Gl,5.61667,52.2667
Raalte Ov,6.28333,52.3833
Reusel NB,5.16667,51.3667
Reuver Lb,6.08333,51.2833
Rhenen Ut,5.56667,51.96670000000001
Rijkevoort NB,5.88333,51.65
Rilland Ze,4.18333,51.4167
Roderwolde Dr,6.46667,53.16669999999999
Roodeschool Gn,6.76667,53.41670000000001
Roswinkel Dr,7.050000000000001,52.8333
Rozendaal Gl,5.96667,52.01670000000001
Ruinen Dr,6.35,52.7667
Scheemda Gn,6.96667,53.16669999999999
Scherpenzeel Fr,5.88333,52.8333
Scheveningen ZH,4.28333,52.1
Schiermonnikoog Fr - Skiermantseach Fr,6.16667,53.4833
Sevenum Lb,6.03333,51.4167
Sliedrecht ZH,4.76667,51.81669999999999
Slochteren Gn,6.8,53.2167
Smilde Dr,6.45,52.95
Spakenburg Ut,5.36667,52.25000000000001
Tegelen Lb,6.133329999999999,51.3333
Tiel Gl,5.43333,51.8833
Tilburg NB,5.11667,51.55
Urk Fl,5.6,52.6667
Utrecht Ut,5.13333,52.0833
Vaals Lb,6.01667,50.7667
Vaassen Gl,5.96667,52.28329999999999
Veenendaal Ut,5.55,52.0333
Volendam NH,5.06667,52.5
Vriezenveen Ov,6.61667,52.4167
Wagenborgen Gn,6.93333,53.25
Wateringen ZH,4.28333,52.0333
Westerbork Dr,6.6,52.85
Westkapelle Ze,3.45,51.5333
Wijhe Ov,6.133329999999999,52.3833
Willemstad NB,4.43333,51.7
Windesheim Ov,6.133329999999999,52.45
Wolvega Fr,6,52.8833
Zandvoort NH,4.53333,52.3667
Zeeland NB,5.68333,51.7
Zuidzande Ze,3.45,51.35
Zutphen Gl,6.2,52.1333
Zwartsluis Ov,6.08333,52.6333